date,open,high,low,close,volume
2008-03-19,3.5465,3.6911,3.5001,3.5001,220838000
2008-03-20,3.5001,3.6657,3.4607,3.6507,228214000
2008-03-24,3.6821,3.8373,3.6288,3.7884,187908000
2008-03-25,3.7824,3.8053,3.6936,3.7495,126550000
2008-03-26,3.6981,3.747,3.6532,3.6811,125702000
2008-03-27,3.7096,3.7255,3.5314,3.5315,158848000
2008-03-28,3.5415,3.6018,3.4547,3.4796,105582000
2008-03-31,3.5041,3.5734,3.4731,3.5564,109406000
2008-04-01,3.7372,3.8452,3.6293,3.8258,194680000
2008-04-02,3.8447,3.9405,3.7969,3.8592,171848000
2008-04-03,3.7485,3.7914,3.6816,3.738,162998000
2008-04-04,3.754,3.8821,3.7051,3.8343,143056000
2008-04-07,3.8587,3.9121,3.7909,3.8358,133448000
2008-04-08,3.8108,3.8712,3.7659,3.8557,99320000
2008-04-09,3.8188,3.8243,3.6742,3.7106,133206000
2008-04-10,3.7151,3.7654,3.6278,3.7325,125110000
2008-04-11,3.6831,3.7061,3.5724,3.5909,135712000
2008-04-14,3.5764,3.6911,3.5559,3.6218,87090000
2008-04-15,3.6632,3.6901,3.524,3.6163,136262000
2008-04-16,3.6517,3.741,3.6382,3.7205,134936000
2008-04-17,3.7006,3.742,3.6717,3.6931,124400000
2008-04-18,3.8118,4.0901,3.8068,3.9954,335826000
2008-04-21,4.0029,4.0572,3.9435,3.9994,186708000
2008-04-22,3.9874,3.9874,3.8677,3.9704,144900000
2008-04-23,4.0029,4.1221,3.9275,4.0403,385008000
2008-04-24,3.8807,4.0168,3.8373,3.8752,421470000
2008-04-25,3.8906,4.0562,3.8537,4.0333,189130000
2008-04-28,4.0148,4.1151,3.9964,4.0887,219838000
2008-04-29,4.0612,4.0787,3.9834,4.0273,134528000
2008-04-30,4.0268,4.0572,3.8866,3.9221,157514000
2008-05-01,3.9275,3.9909,3.8891,3.9585,143940000
2008-05-02,4.0093,4.0502,3.8108,3.8562,163098000
2008-05-05,3.8542,3.8792,3.7844,3.7869,112948000
2008-05-06,3.7659,3.8293,3.7435,3.7764,130914000
2008-05-07,3.754,3.8228,3.6457,3.6502,167532000
2008-05-08,3.6776,3.6991,3.5694,3.6308,162626000
2008-05-09,3.6013,3.6582,3.5744,3.6118,84870000
2008-05-12,3.6462,3.7375,3.5804,3.7175,144308000
2008-05-13,3.727,3.739,3.6567,3.719,100416000
2008-05-14,3.737,3.7784,3.6901,3.7011,91784000
2008-05-15,3.6856,3.8068,3.6687,3.7969,138354000
2008-05-16,3.8118,3.8323,3.734,3.8138,124134000
2008-05-19,3.9405,4.2273,3.9335,4.1046,373696000
2008-05-20,4.0986,4.1251,3.9919,4.0263,158244000
2008-05-21,4.0133,4.0478,3.8657,3.9056,141410000
2008-05-22,3.9116,3.9749,3.8906,3.9535,107812000
2008-05-23,3.9181,3.934,3.8622,3.9081,126638000
2008-05-27,3.9031,4.0353,3.8891,4.0213,202164000
2008-05-28,4.0173,4.0298,3.94,3.9944,134012000
2008-05-29,4.0208,4.0882,3.9989,4.0078,137152000
2008-05-30,4.0193,4.0787,4.0054,4.0712,105412000
2008-06-02,4.0672,4.0687,3.9929,4.0019,124304000
2008-06-03,4.0258,4.0847,3.9535,3.9959,117400000
2008-06-04,3.9959,4.0812,3.9764,4.0652,129166000
2008-06-05,4.0901,4.2338,4.0802,4.2153,178774000
2008-06-06,4.1495,4.172,4.0183,4.0218,156874000
2008-06-09,4.0617,4.0667,3.8966,3.962,130746000
2008-06-10,3.9006,4.0423,3.9006,3.9714,121312000
2008-06-11,3.958,3.9904,3.8422,3.8547,117490000
2008-06-12,3.9046,3.943,3.7415,3.7984,124088000
2008-06-13,3.8258,3.9904,3.8258,3.949,119490000
2008-06-16,3.9116,4.1166,3.9111,4.0752,115088000
2008-06-17,4.1475,4.2049,4.1301,4.1385,176048000
2008-06-18,4.0901,4.1485,4.0562,4.1161,136932000
2008-06-19,4.1006,4.2134,4.0652,4.2029,134346000
2008-06-20,4.0468,4.163,4.0158,4.0453,131778000
2008-06-23,4.0552,4.0976,3.9679,4.0243,148516000
2008-06-24,3.9679,4.0298,3.8722,3.9724,142802000
2008-06-25,4.0128,4.0976,3.9664,4.0158,147866000
2008-06-26,3.9405,3.9849,3.7909,3.8058,226202000
2008-06-27,3.7629,3.7944,3.6223,3.724,236810000
2008-06-30,3.736,3.7969,3.6517,3.6577,142082000
2008-07-01,3.6018,3.7026,3.5175,3.6722,205850000
2008-07-02,3.6936,3.7116,3.5604,3.5634,140888000
2008-07-03,3.6088,3.6831,3.5175,3.5914,84964000
2008-07-07,3.6098,3.7111,3.5295,3.6158,147110000
2008-07-08,3.6013,3.7654,3.5789,3.743,158320000
2008-07-09,3.721,3.736,3.5155,3.522,138242000
2008-07-10,3.5265,3.5799,3.3913,3.523,198832000
2008-07-11,3.4791,3.4911,3.329,3.4188,158600000
2008-07-14,3.4572,3.4667,3.2716,3.306,180426000
2008-07-15,3.2771,3.4228,3.1419,3.3434,226842000
2008-07-16,3.339,3.6288,3.334,3.5834,240778000
2008-07-17,3.5514,3.6103,3.3787,3.5968,191948000
2008-07-18,3.4861,3.5335,3.4118,3.4477,165960000
2008-07-21,3.4497,3.4816,3.307,3.4158,137938000
2008-07-22,3.3524,3.4487,3.2861,3.3903,175916000
2008-07-23,3.3809,3.5948,3.3651,3.5185,358324000
2008-07-24,3.8073,4.1091,3.8053,3.9265,619932000
2008-07-25,3.9754,4.0372,3.8966,3.9061,183014000
2008-07-28,3.8452,3.9061,3.734,3.7899,209604000
2008-07-29,3.8153,3.9305,3.7989,3.9011,135418000
